dataset,method,model,accuracy_mean_mean,accuracy_mean_std,roc_auc_mean_mean,roc_auc_mean_std,f1_mean_mean,f1_mean_std,mcc_mean_mean,mcc_mean_std,n_features_first
electricity,Baseline,LGBM,0.880473091897754,,0.9535748141278162,,0.8803262647359474,,0.7549120590808721,,8.0
electricity,Baseline,LR,0.7539943634461659,,0.8261556335194296,,0.7485267055376028,,0.49091470387119085,,8.0
electricity,Baseline,MLP,0.8349001921442859,,0.9125452171582863,,0.8345279226057072,,0.6611327458133212,,8.0
electricity,Featuretools,LGBM,0.888395905334475,,0.9584759915695902,,0.8882790883086177,,0.7712057146138989,,50.0
electricity,Featuretools,LR,0.7549874413279046,,0.8271736482776463,,0.750271635010151,,0.49281595830545477,,50.0
electricity,Featuretools,MLP,0.8352312570680047,,0.9131638257043481,,0.8346480219846655,,0.6614602484207832,,50.0
