dataset,method,model,accuracy_mean_mean,accuracy_mean_std,roc_auc_mean_mean,roc_auc_mean_std,f1_mean_mean,f1_mean_std,mcc_mean_mean,mcc_mean_std,n_features_first
electricity,Baseline,LGBM,0.880473091897754,,0.9535748141278162,,0.8803262647359474,,0.7549120590808721,,8.0
electricity,Baseline,LR,0.7539502255149971,,0.8261684824793445,,0.7484818122336154,,0.4908197943050664,,8.0
electricity,Baseline,MLP,0.8343705394054561,,0.9124797742910697,,0.8339015354717831,,0.659815760107461,,8.0
electricity,LLM-FE,LGBM,0.8591762807603939,,0.9408040687813211,,0.8589594328087964,,0.7111114879140018,,4.0
electricity,LLM-FE,LR,0.7576357366796046,,0.811763642531669,,0.7526113434471018,,0.49854438450172267,,4.0
electricity,LLM-FE,MLP,0.8038046823611651,,0.8859881277286368,,0.8020826902867857,,0.595448216089782,,4.0
