method,model,trial,n_features,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,mcc_mean,mcc_std,dataset,error
Baseline,LR,0,8.0,0.7539943634461659,0.00747440955182268,0.8261556335194296,0.007437837561669062,0.7485267055376028,0.007930942213083894,0.49091470387119085,0.015888540651190466,electricity,
Baseline,MLP,0,8.0,0.8349001921442859,0.00431418650714446,0.9125452171582863,0.0031384996915355,0.8345279226057072,0.004610155337489243,0.6611327458133212,0.009486484002680352,electricity,
Baseline,LGBM,0,8.0,0.880473091897754,0.004536319471775789,0.9535748141278162,0.003303543818423143,0.8803262647359474,0.004539347602420077,0.7549120590808721,0.009298067202278637,electricity,
Featuretools,LR,0,50.0,0.7549874413279046,0.007600594891993777,0.8271736482776463,0.007767844425479828,0.750271635010151,0.007950165696959915,0.49281595830545477,0.0161436844908417,electricity,
Featuretools,MLP,0,50.0,0.8352312570680047,0.003174753586565108,0.9131638257043481,0.00356248338855176,0.8346480219846655,0.0031470107322248402,0.6614602484207832,0.006493141955709684,electricity,
Featuretools,LGBM,0,50.0,0.888395905334475,0.003874700810143905,0.9584759915695902,0.0028025826892357306,0.8882790883086177,0.0039004473925636583,0.7712057146138989,0.008003822354240742,electricity,
Auto-sklearn,,0,,,,,,,,,,electricity,Not installed
LLM-FE,,0,,,,,,,,,,electricity,Skipped
