method,model,trial,n_features,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,mcc_mean,mcc_std,dataset,error
Baseline,LR,0,8.0,0.7539502255149971,0.007522390953588433,0.8261684824793445,0.007435048968625009,0.7484818122336154,0.007976179581661564,0.4908197943050664,0.01599239419549423,electricity,
Baseline,MLP,0,8.0,0.8343705394054561,0.003518864129271393,0.9124797742910697,0.0029402491943305597,0.8339015354717831,0.0037927895169693597,0.659815760107461,0.007796323500463756,electricity,
Baseline,LGBM,0,8.0,0.880473091897754,0.004536319471775789,0.9535748141278162,0.003303543818423143,0.8803262647359474,0.004539347602420077,0.7549120590808721,0.009298067202278637,electricity,
Featuretools,,0,,,,,,,,,,electricity,Unknown transform primitive square. Call ft.primitives.list_primitives() to get a list of available primitives
Auto-sklearn,,0,,,,,,,,,,electricity,Not installed
LLM-FE,LR,0,4.0,0.7576357366796046,0.008378782873121042,0.811763642531669,0.007616778538358088,0.7526113434471018,0.008858778739826321,0.49854438450172267,0.017789900358079116,electricity,
LLM-FE,MLP,0,4.0,0.8038046823611651,0.006385023974469124,0.8859881277286368,0.006554648939884328,0.8020826902867857,0.006636532654283807,0.595448216089782,0.013384384154721736,electricity,
LLM-FE,LGBM,0,4.0,0.8591762807603939,0.005142151581625501,0.9408040687813211,0.0036019414587065567,0.8589594328087964,0.0051144372852356635,0.7111114879140018,0.010482536739541519,electricity,
