method,model,trial,n_features,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,mcc_mean,mcc_std,dataset,error
Baseline,LR,0,8.0,0.7539502255149971,0.007522390953588433,0.8261684824793445,0.007435048968625009,0.7484818122336154,0.007976179581661564,0.4908197943050664,0.01599239419549423,electricity,
Baseline,MLP,0,8.0,0.8343705394054561,0.003518864129271393,0.9124797742910697,0.0029402491943305597,0.8339015354717831,0.0037927895169693597,0.659815760107461,0.007796323500463756,electricity,
Baseline,LGBM,0,8.0,0.880473091897754,0.004536319471775789,0.9535748141278162,0.003303543818423143,0.8803262647359474,0.004539347602420077,0.7549120590808721,0.009298067202278637,electricity,
Featuretools,LR,0,50.0,0.7542370964980344,0.008056649420749778,0.8261778015040211,0.007699521806931197,0.7487656302473104,0.008506324589677499,0.49143589681083466,0.017147178651943533,electricity,
Featuretools,MLP,0,50.0,0.834679431867752,0.004867161095467773,0.9134539781129473,0.003275849714139645,0.8341889022029632,0.004614778099628764,0.6605597046032274,0.00955260593949533,electricity,
Featuretools,LGBM,0,50.0,0.888395905334475,0.003874700810143905,0.9584759915695902,0.0028025826892357306,0.8882790883086177,0.0039004473925636583,0.7712057146138989,0.008003822354240742,electricity,
Auto-sklearn,,0,,,,,,,,,,electricity,Not installed
LLM-FE,LR,0,4.0,0.7576357366796046,0.008378782873121042,0.811763642531669,0.007616778538358088,0.7526113434471018,0.008858778739826321,0.49854438450172267,0.017789900358079116,electricity,
LLM-FE,MLP,0,4.0,0.8038046823611651,0.006385023974469124,0.8859881277286368,0.006554648939884328,0.8020826902867857,0.006636532654283807,0.595448216089782,0.013384384154721736,electricity,
LLM-FE,LGBM,0,4.0,0.8591762807603939,0.005142151581625501,0.9408040687813211,0.0036019414587065567,0.8589594328087964,0.0051144372852356635,0.7111114879140018,0.010482536739541519,electricity,
Baseline,LR,1,8.0,0.7537738125965053,0.0034188978700943596,0.8261355082224477,0.005415789451558324,0.748335203767809,0.0034618910036908345,0.49045420202689194,0.007330799109040482,electricity,
Baseline,MLP,1,8.0,0.8323402822387529,0.004738917252222737,0.9130549459523662,0.0035883665077943183,0.8317992157095568,0.004829703347985695,0.6557873116174956,0.009798253336944692,electricity,
Baseline,LGBM,1,8.0,0.8812013762852265,0.0037491122056848274,0.9545772872765534,0.001954623172425141,0.8810986113680652,0.0037924527238648044,0.7565362887093828,0.007792321649946068,electricity,
Featuretools,LR,1,50.0,0.7541269355274256,0.003703510926362026,0.8261736454594744,0.005369237230575949,0.7486846423644806,0.003722621482331594,0.49121823854905805,0.007949569354863567,electricity,
Featuretools,MLP,1,50.0,0.8335539060997599,0.0039040899454168055,0.9134463102992054,0.002230538037328198,0.8327134884994504,0.004014774129745737,0.6578282528389751,0.0079999464180086,electricity,
Featuretools,LGBM,1,50.0,0.8904924875049474,0.002522927882649615,0.9592896544569424,0.002262546862674443,0.8904032787364002,0.0025333300751326114,0.775572108489784,0.005199466369173407,electricity,
Auto-sklearn,,1,,,,,,,,,,electricity,Not installed
LLM-FE,LR,1,4.0,0.7575476507625707,0.0036646121422234117,0.8118018923712194,0.006973734077315389,0.7525394005023963,0.0036688291019229898,0.4983953729484461,0.007853430519982444,electricity,
LLM-FE,MLP,1,4.0,0.8049743582363071,0.0026993217769259417,0.8880716477688843,0.003376347194026045,0.8034298966511185,0.0022667295308329855,0.5982780826998955,0.005330029865242417,electricity,
LLM-FE,LGBM,1,4.0,0.8607431249601692,0.003818312795288064,0.9408713771135986,0.002820242385825281,0.860539007380574,0.0038014086021003106,0.7143684527148639,0.007747734203145946,electricity,
Baseline,LR,2,8.0,0.7542593030522043,0.003206053649509791,0.8261975570810922,0.003914841191919956,0.7488215903577589,0.0035042952792169657,0.49148998161249374,0.0067725128246774405,electricity,
Baseline,MLP,2,8.0,0.833509936197129,0.004252140506250232,0.9118730438734433,0.004194637197904247,0.8332740218824348,0.00435225306319274,0.6585173814352074,0.00900784499016691,electricity,
Baseline,LGBM,2,8.0,0.8808924058966522,0.0030116671804591936,0.9540347477704836,0.001694853809612039,0.8807644060383802,0.0030109114159357553,0.755819945765042,0.0061781754477322854,electricity,
Featuretools,LR,2,50.0,0.7537738004205243,0.0030396658849363256,0.8262299767244438,0.003953712734869127,0.7483346089920251,0.00330122358439732,0.4904466238956779,0.006430010425616577,electricity,
Featuretools,MLP,2,50.0,0.8338410084264364,0.004307707102725912,0.9116739728288256,0.0036018593365396514,0.8334686665443453,0.0037545324015286767,0.6594387103606826,0.007750128609476116,electricity,
Featuretools,LGBM,2,50.0,0.890382199904136,0.005392672492888099,0.9587636388246251,0.0024722704986455783,0.8902903472573357,0.00538551867361697,0.7753467798388103,0.011017958448159566,electricity,
Auto-sklearn,,2,,,,,,,,,,electricity,Not installed
LLM-FE,LR,2,4.0,0.7572828329163425,0.004522864510615903,0.8117517697841337,0.0032624030001776705,0.7522764344797337,0.004765661358776339,0.49780871703632296,0.009601008148426878,electricity,
LLM-FE,MLP,2,4.0,0.8047315789157109,0.002841913378432238,0.8875083200386802,0.002761644936614161,0.8032306543671325,0.0024702800297310284,0.5977188253468937,0.005681340962747633,electricity,
LLM-FE,LGBM,2,4.0,0.8587349233654713,0.0018231106806837875,0.9399558769222309,0.0015768643694370342,0.8585416431550371,0.0017820457359092887,0.710264899275967,0.0036368290819773167,electricity,
